Product ID,ProductName, Merchant ID, Cluster ID, Cluster Label, Category ID,Category,Price,StockQuantity,Description,Rating,OrderID,CustomerID,OrderStatus,ReturnEligible,ShippingDate
5,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,5.0,1.0,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,599.99,92.0,"This is a 5.5-inch, unlocked, 4G-enabled iPhone with 64GB storage, featuring a gold finish.",3.9,1496.0,587.0,Delivered,True,2024-10-05 12:24:37.765490
14,apple iphone 8 plus 5.5 single sim 4g 64gb grey,14.0,1.0,Apple iPhone 8 Plus 64GB,2612,Mobile Phones,599.99,429.0,"This device is a high-performance smartphone featuring a 5.5-inch display, single SIM capability, and 4G connectivity, packaged in a durable grey casing with 64GB of internal storage.",2.8,2301.0,1546.0,Shipped,False,2024-10-11 12:24:37.765490
41,apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c,18.0,2.0,Apple iPhone 7 Plus 32GB,2612,Mobile Phones,599.0,489.0,"The Apple iPhone 7 Plus is a high-performance smartphone with a 5.5-inch multi-touch display, 32GB of storage, and advanced wireless connectivity options including WLAN, WWAN, and Bluetooth.",2.4,1717.0,1351.0,Cancelled,False,2024-10-18 12:24:37.765490
62,apple iphone 7 11.9 cm 4.7 32 gb 12 mp ios 10 black,18.0,3.0,Apple iPhone 7 32GB,2612,Mobile Phones,999.99,134.0,"A compact, 4.7-inch touchscreen smartphone with a 12MP camera and up to 32GB of storage, running on iOS 10, featuring a sleek black design.",2.8,1845.0,62.0,Pending,False,2024-10-15 12:24:37.765490
71,grade b apple iphone 8 64gb gold handset only,6.0,4.0,Apple iPhone 8 64GB,2612,Mobile Phones,499.99,33.0,"This is a refurbished iPhone 8 in gold with 64GB storage, featuring the A10 Fusion chip and a high-quality Grade B casing.",2.7,3191.0,273.0,Delivered,True,2024-10-22 12:24:37.765490
93,apple iphone x 14.7 cm 5.8 64 gb single sim 4g grey,14.0,5.0,Apple iPhone X 64GB,2612,Mobile Phones,999.99,24.0,"The Apple iPhone X features a 5.8-inch screen, 64GB of storage, and supports 4G connectivity in its single SIM variant, all encased in a sleek grey design.",4.5,3137.0,712.0,Cancelled,False,2024-10-18 12:24:37.765490
97,apple iphone x space grey 5.8 64gb 4g unlocked sim free,6.0,5.0,Apple iPhone X 64GB,2612,Mobile Phones,599.99,472.0,"This is a 5.8-inch, space grey, 64GB capacity, unlocked iPhone X model with 4G connectivity, available in Sim-free format.",2.3,2401.0,986.0,Delivered,True,2024-09-30 12:24:37.765490
120,samsung galaxy s8 single sim 64gb android uk version sim free smartphone midnight black with samsung original level box slim wireless portable bluetooth speaker,17.0,6.0,Samsung Galaxy S8 64GB,2612,Mobile Phones,599.99,97.0,"A compact, wireless Bluetooth speaker designed to pair seamlessly with the Samsung Galaxy S8, featuring a sleek, slim design and reliable connectivity for on-the-go audio entertainment.",4.0,1736.0,2434.0,Shipped,False,2024-10-24 12:24:37.765490
131,sim free samsung galaxy s8 64gb mobile phone black,22.0,6.0,Samsung Galaxy S8 64GB,2612,Mobile Phones,200.0,496.0,"This is a Samsung Galaxy S8, a compact and feature-rich Android smartphone with 64GB storage, available in black color.",2.3,2770.0,1001.0,Cancelled,False,2024-10-18 12:24:37.765490
140,apple iphone x 256gb silver solo unlocked,17.0,7.0,Apple iPhone X 256GB,2612,Mobile Phones,999.99,16.0,"The Apple iPhone X is a high-performance smartphone featuring a 5.8-inch OLED display and up to 64GB of storage, making it an ideal choice for users seeking a premium mobile experience.",2.1,2214.0,1438.0,Delivered,False,2024-10-04 12:24:37.765490
145,apple iphone x 5.8 single sim 4g 256gb silver,11.0,7.0,Apple iPhone X 256GB,2612,Mobile Phones,999.99,450.0,"The Apple iPhone X features a 5.8-inch Super Retina HD display and integrates a single SIM slot for 4G connectivity, with up to 256GB of internal storage and a sleek silver finish.",2.6,3267.0,2122.0,Shipped,False,2024-10-07 12:24:37.765490
197,apple iphone 8 gold 4.7 256gb 4g unlocked sim free,5.0,10.0,Apple iPhone 8 256GB,2612,Mobile Phones,499.99,244.0,"This is an unlocked, SIM-free 4G version of the Apple iPhone 8, featuring a 4.7-inch display and 256GB storage in a gold finish.",2.4,3076.0,266.0,Cancelled,False,2024-10-14 12:24:37.765490
201,apple iphone 8 256gb space grey,9.0,10.0,Apple iPhone 8 256GB,2612,Mobile Phones,599.99,54.0,"The Apple iPhone 8 256GB Space Grey is a compact and portable smartphone featuring a 4.7-inch Retina HD display, quad-core A11 Bionic chip, and up to 12MP rear camera.",4.0,2740.0,1833.0,Cancelled,False,2024-09-29 12:24:37.765490
242,apple iphone 7 plus 5.5 inch multi touch 128gb wlan wwan bluetooth,18.0,12.0,Apple iPhone 7 Plus 128GB,2612,Mobile Phones,599.0,331.0,"The Apple iPhone 7 Plus features a 5.5-inch multi-touch display, WLAN, WWAN, and Bluetooth connectivity, with 128GB of internal storage.",3.9,2119.0,1081.0,Cancelled,False,2024-09-29 12:24:37.765490
252,samsung galaxy s8 plus 64gb black,1.0,13.0,Samsung Galaxy S8+ 64GB,2612,Mobile Phones,899.0,202.0,The Samsung Galaxy S8+ 64GB Black is a high-performance Android smartphone featuring a large 6.2-inch display and long-lasting battery life.,2.2,2703.0,2046.0,Delivered,False,2024-10-28 12:24:37.765490
